姓,せい,名,めい,性別,年齢,政党,推薦・支持,新旧,当選回数,略歴,選挙区,定員,政党_世論,地方議席数_割合
小野沢,おのざわ,健至,たけし,1,49,諸派,0,新,0,Ｎ国党員〈元〉システム運用会社監査役▽日本工学院八王子専門学校,山形,1,0,0
森,もり,雅子,まさこ,0,54,自民,公明,現,2,弁護士〈元〉少子化担当相・消費者相・金融庁職員▽東北大,福島,1,33.4,50
水野,みずの,さちこ,さちこ,0,57,無所属,立憲 / 国民 / 社民,新,0,〈元〉県議・エフエム会津パーソナリティー・保育士▽郡山女短大,福島,1,0,0
田山,たやま,雅仁,まさひと,1,35,諸派,0,新,0,Ｎ国党員・ＩＴ関連会社長〈元〉情報通信会社員▽東海大,福島,1,0,0
田中,たなか,健,けん,1,53,諸派,0,新,0,Ｎ国党員・不動産賃貸業〈元〉江戸川区議▽千葉大,茨城,2,0,0
海野,うみの,徹,とおる,1,70,維新,0,新,0,農業〈元〉那珂市長・市議・材木店経営・伊勢甚百貨店社員▽専修大,茨城,2,2.3,0
小沼,おぬま,巧,たくみ,1,33,立憲,社民,新,0,〈元〉ボストンコンサルティンググループ社員・経産省職員▽早大,茨城,2,6,1.58730158730159
大内,おおうち,久美子,くみこ,0,69,共産,0,新,0,党中央委員〈元〉県議・水戸市議・保育士▽茨城大養護教諭養成所,茨城,2,2.9,3.17460317460317
上月,こうづき,良祐,りょうすけ,1,56,自民,公明,現,1,党税調幹事〈元〉農水政務官・副知事・県総務部長・総務省職員▽東大,茨城,2,33.4,71.4285714285714
町田,まちだ,紀光,としみつ,1,40,諸派,0,新,0,Ｎ国党員・コンビニ経営〈元〉小学校ＰＴＡ会長,栃木,1,0,0
高橋,たかはし,克法,かつのり,1,61,自民,公明,現,1,〈元〉国交政務官・高根沢町長・県議・参院議員秘書▽明大,栃木,1,33.4,62
加藤,かとう,千穂,ちほ,0,43,立憲,国民 / 社民,新,0,党県副代表〈元〉衆院議員秘書・司法書士事務所員▽早大,栃木,1,6,6
清水,しみず,真人,まさと,1,44,自民,公明,新,0,社会福祉法人理事〈元〉県議・高崎市議・建設会社監査役▽明学大,群馬,1,33.4,50
斉藤,さいとう,敦子,あつこ,0,51,立憲,国民 / 社民,新,0,看護師・助産師・大学非常勤講師〈元〉大学准教授▽東京福祉大院,群馬,1,6,4
前田,まえだ,みか子,みかこ,0,47,諸派,0,新,0,Ｎ国党員・介護職員〈元〉飲食店経営,群馬,1,0,0
宍戸,ししど,千絵,ちえ,0,41,国民,0,新,0,〈元〉富士ゼロックス社員・独立行政法人職員▽米ジョージワシントン大院,埼玉,4,1.6,4.30107526881721
伊藤,いとう,岳,がく,1,59,共産,0,新,0,党県常任委員・党県民運動委員長〈元〉党地区委員長▽文教大,埼玉,4,2.9,6.45161290322581
矢倉,やくら,克夫,かつお,1,44,公明,自民,現,1,弁護士〈元〉農水政務官・経産省任期付職員▽東大,埼玉,4,4.8,9.67741935483871
沢田,さわだ,良,りょう,1,39,維新,0,新,0,党県幹事長〈元〉維新政治塾生・参院議員秘書▽日大,埼玉,4,2.3,0
鮫島,さめじま,良司,りょうじ,1,64,諸派,0,新,0,登記情報会社員・安楽死党員〈元〉信販会社員▽北九州大,埼玉,4,0,1.0752688172043
小島,こじま,一郎,いちろう,1,48,諸派,0,新,0,幸福実現党県代表〈元〉党幹事長代理・幸福の科学出版部長▽日大,埼玉,4,0,1.0752688172043
佐藤,さとう,恵理子,えりぃ,0,33,諸派,0,新,0,タレント・Ｎ国党員・ネット動画配信者▽白鷗大,埼玉,4,0,1.0752688172043
熊谷,くまがい,裕人,ひろと,1,57,立憲,0,新,0,党県代表代行〈元〉さいたま市議・参院議員秘書▽中大,埼玉,4,6,7.52688172043011
古川,ふるかわ,俊治,としはる,1,56,自民,0,現,2,慶大教授・医師・弁護士▽英オックスフォード大院,埼玉,4,33.4,51.6129032258065
石井,いしい,準一,じゅんいち,1,61,自民,公明,現,2,参院予算委理事〈元〉建築資材会社役員・県議・衆院議員秘書▽長生高,千葉,3,33.4,47.3684210526316
豊田,とよだ,俊郎,としろう,1,66,自民,公明,現,1,〈元〉内閣府政務官・八千代市長・県議・測量会社長▽中央工学校,千葉,3,33.4,47.3684210526316
長浜,ながはま,博行,ひろゆき,1,60,立憲,国民 / 社民,現,2,〈元〉民進党県代表・環境相・官房副長官・衆院議員・松下政経塾生▽早大,千葉,3,6,10.5263157894737
門田,かどた,正則,まさのり,1,72,諸派,0,新,0,安楽死党員〈元〉船橋市議・空港内地上サービス会社員▽久留米大,千葉,3,0,0
平塚,ひらつか,正幸,まさゆき,1,37,諸派,0,新,0,Ｎ国党員・ユーチューバー〈元〉水泳指導員,千葉,3,0,0
浅野,あさの,史子,ふみこ,0,48,共産,0,新,0,党県副委員長〈元〉民青県委員長・木更津市職員▽木更津高専,千葉,3,2.9,2.10526315789474
丸川,まるかわ,珠代,たまよ,0,48,自民,0,現,2,〈元〉五輪相・環境相・厚労政務官・テレビ朝日アナウンサー▽東大,東京,6,33.4,18.1102362204724
武見,たけみ,敬三,けいぞう,1,67,自民,0,現,4,党国際保健戦略特別委員長〈元〉厚労副大臣・外務政務次官▽慶大院,東京,6,33.4,18.1102362204724
塩村,しおむら,文夏,あやか,0,41,立憲,0,新,0,〈元〉国民民主党広島３区支部長・都議・放送作家▽共立女短大,東京,6,6,3.93700787401575
山岸,やまぎし,一生,いっせい,1,37,立憲,0,新,0,〈元〉朝日新聞記者▽東大,東京,6,6,3.93700787401575
山口,やまぐち,那津男,なつお,1,67,公明,0,現,3,党代表・弁護士〈元〉参院行政監視委員長・衆院議員・防衛政務次官▽東大,東京,6,4.8,18.1102362204724
溝口,みぞぐち,晃一,こういち,1,50,諸派,0,新,0,オリーブの木政調会長・写真家・情報公開おおた代表▽産業能率大,東京,6,0,0
佐藤,さとう,均,ひとし,1,48,諸派,0,新,0,安楽死党都副代表・登記情報会社役員〈元〉日興証券社員▽日大,東京,6,0,0
七海,ななみ,ひろこ,ひろこ,0,34,諸派,0,新,0,幸福実現党都代表・党広報本部長〈元〉ＮＴＴデータ社員▽慶大,東京,6,0,0
横山,よこやま,昌弘,まさひろ,1,76,諸派,0,新,0,安楽死党員・防水工事会社長・保護司〈元〉小金井市議▽東京学芸大,東京,6,0,0
大橋,おおはし,昌信,まさのぶ,1,43,諸派,0,新,0,Ｎ国党員〈元〉朝霞市議・配送会社員▽千葉県沼南高,東京,6,0,0
大塚,おおつか,紀久雄,きくお,1,78,諸派,0,新,0,貸事務所業・日本無党派党代表〈元〉印刷紙器会社代表社員▽明学大,東京,6,0,0
森,もり,純,きよし,1,71,無所属,0,新,0,〈元〉会社員▽大阪市大,東京,6,0,0
関口,せきぐち,安弘,やすひろ,1,67,無所属,0,新,0,建物管理業〈元〉航空自衛官▽明大中退,東京,6,0,0
西野,にしの,貞吉,ていきち,1,83,無所属,0,新,0,〈元〉タクシー運転手・陸上自衛官,東京,6,0,0
野末,のずえ,陳平,ちんぺい,1,87,無所属,0,元,4,ゴルフ場会社会長〈元〉大正大教授・参院大蔵委員長・タレント▽早大,東京,6,0,0
吉良,きら,佳子,よしこ,0,36,共産,0,現,1,党中央委員〈元〉党都職員・印刷会社員▽早大,東京,6,2.9,14.1732283464567
水野,みずの,素子,もとこ,0,49,国民,0,新,0,宇宙航空研究開発機構調査国際部参事▽東大,東京,6,1.6,0
朝倉,あさくら,玲子,れいこ,0,60,社民,0,新,0,労組書記長〈元〉東京全労協常任幹事・東京地裁労働審判員▽東洋大,東京,6,0.5,0
音喜多,おときた,駿,しゅん,1,35,維新,0,新,0,あたらしい党代表〈元〉都議・都民ファ都議団幹事長・化粧品会社員▽早大,東京,6,2.3,0
野原,のはら,善正,よしまさ,1,59,れい,0,新,0,〈元〉学習塾非常勤講師▽琉球大院,東京,6,0,0
乃木,のぎ,涼介,りょうすけ,1,54,国民,0,新,0,党県副代表・俳優▽同志社大,神奈川,4,1.6,4.76190476190476
佐々木,ささき,さやか,さやか,0,38,公明,自民,現,1,弁護士・党学生局長・党女性委副委員長・党県副代表▽創価大専門職院,神奈川,4,4.8,7.61904761904762
相原,あいはら,倫子,りんこ,0,58,社民,0,新,0,女性向け相談室主宰・党県役員〈元〉フリー記者▽北鎌倉女子学園高,神奈川,4,0.5,0
壹岐,いき,愛子,あいこ,0,33,諸派,0,新,0,幸福実現党女性部会長〈元〉党県副代表・ＯＡ機器販売会社員▽多摩大,神奈川,4,0,0
圷,あくつ,孝行,たかゆき,1,69,諸派,0,新,0,労働の解放をめざす労働者党員〈元〉党代表委員・県立高校教諭▽中大,神奈川,4,0,0
林,はやし,大祐,だいすけ,1,43,諸派,0,新,0,Ｎ国党員・化学品コンサルタント業▽昭和大院中退,神奈川,4,0,0
加藤,かとう,友行,ともゆき,1,55,諸派,0,新,0,安楽死党員・デザイン会社長〈元〉音楽制作会社経営,神奈川,4,0,0
榎本,えのもと,太志,たいし,1,41,諸派,0,新,0,オリーブの木青年局長・司会業〈元〉接客業▽帝京科学大,神奈川,4,0,0
渋谷,しぶや,貢,みつぎ,1,82,無所属,0,新,0,行政書士・農業・川崎信金総代▽日大専攻科,神奈川,4,0,15.2380952380952
森下,もりした,正勝,まさかつ,1,75,無所属,0,新,0,建築内装会社長▽神奈川大,神奈川,4,0,15.2380952380952
牧山,まきやま,弘恵,ひろえ,0,54,立憲,0,現,2,米国弁護士〈元〉参院倫選特別委員長・ＴＢＳ社員▽国際基督教大,神奈川,4,6,21.9047619047619
島村,しまむら,大,だい,1,58,自民,0,現,1,歯科医師〈元〉参院厚労委員長・日本歯科医師連盟理事長▽東京歯大,神奈川,4,33.4,44.7619047619048
浅賀,あさか,由香,ゆか,1,39,共産,0,新,0,党県常任委員〈元〉運輸会社役員▽筑波大,神奈川,4,2.9,4.76190476190476
松沢,まつざわ,成文,しげふみ,1,61,維新,0,現,1,聖マリアンナ医大客員教授〈元〉知事・衆院議員・松下政経塾生▽慶大,神奈川,4,2.3,0
打越,うちこし,さく良,さくら,0,51,無所属,立憲 / 国民 / 共産 / 社民,新,0,弁護士・医学部入試における女性差別対策弁護団共同代表▽東大院,新潟,1,0,30.188679245283
塚田,つかだ,一郎,いちろう,1,55,自民,公明,現,2,〈元〉国交副大臣・衆院議員秘書・さくら銀行員▽中大,新潟,1,33.4,52.8301886792453
小島,こじま,糾史,ただふみ,1,43,諸派,0,新,0,Ｎ国党員・運送会社員▽群馬県伊勢崎商高中退,新潟,1,0,0
西尾,にしお,政英,まさえい,1,58,国民,立憲 / 社民,新,0,〈元〉衆院議員秘書・参院議員秘書・県職員▽金沢大専門職院,富山,1,1.6,0
堂故,どうこ,茂,しげる,1,66,自民,公明,現,1,〈元〉氷見市長・県議・衆院議員秘書▽慶大,富山,1,33.4,80
山田,やまだ,修路,しゅうじ,1,65,自民,公明,現,1,党参院政審副会長〈元〉総務政務官・農水審議官・水産庁長官▽東大,石川,1,33.4,65.1162790697674
田辺,たなべ,徹,とおる,1,58,国民,立憲 / 社民,新,0,〈元〉オペラ歌手・国立音大非常勤講師▽東京外大院,石川,1,1.6,4.65116279069768
山田,やまだ,和雄,かずお,1,52,共産,0,新,0,党県常任委員〈元〉三国町議・自動車電装販売修理会社員▽春江工高,福井,1,2.9,2.7027027027027
嶋谷,しまたに,昌美,まさみ,0,48,諸派,0,新,0,Ｎ国党員・キャリア相談業〈元〉衆院議員秘書・広告会社員▽関学大,福井,1,0,0
滝波,たきなみ,宏文,ひろふみ,1,47,自民,公明,現,1,経産政務官〈元〉財務省広報室長・人事企画室長▽東大,福井,1,33.4,67.5675675675676
森屋,もりや,宏,ひろし,1,62,自民,公明,現,1,党県会長〈元〉総務政務官・幼稚園理事長・県議▽北海道教大,山梨,1,33.4,44.7368421052632
市来,いちき,伴子,ともこ,0,41,無所属,立憲 / 国民 / 共産,新,0,〈元〉杉並区議・衆院議員秘書▽関学大院,山梨,1,0,42.1052631578947
猪野,いの,恵司,けいじ,1,35,諸派,0,新,0,バレエ教室経営・Ｎ国党員▽米カリフォルニア州立大ロングビーチ校,山梨,1,0,0
羽田,はた,雄一郎,ゆういちろう,1,51,国民,立憲 / 共産 / 社民,現,4,〈元〉党役員室長・民進党参院幹事長・国交相・衆院議員秘書▽玉川大,長野,1,1.6,0
斉藤,さいとう,好明,よしあき,1,69,諸派,0,新,0,労働者党県支部長・農業〈元〉公民館報編集委員・県立高校教諭▽東京教大,長野,1,0,0
古谷,ふるや,孝,たかし,1,43,諸派,0,新,0,Ｎ国党員・社会保険労務士法人代表▽立教大,長野,1,0,0
小松,こまつ,裕,ゆたか,1,57,自民,公明,新,0,医師〈元〉衆院議員・国立スポーツ科学センタークリニック長▽信州大,長野,1,33.4,36.2068965517241
大野,おおの,泰正,やすただ,1,60,自民,公明,現,1,党副幹事長〈元〉国交政務官・県議・参院議員秘書・全日空社員▽慶大,岐阜,1,33.4,63.0434782608696
梅村,うめむら,慎一,しんいち,1,48,立憲,国民,新,0,司法書士・党県副代表〈元〉十六銀行員▽中京大専門職院,岐阜,1,6,2.17391304347826
坂本,さかもと,雅彦,まさひこ,1,47,諸派,0,新,0,婚礼運営会社長・Ｎ国党員▽甲南大,岐阜,1,0,0
牧野,まきの,京夫,たかお,1,60,自民,公明,現,2,国交副大臣〈元〉外務政務官・県議・テレビ静岡記者▽早大,静岡,2,33.4,50.7246376811594
徳川,とくがわ,家広,いえひろ,1,54,立憲,0,新,0,政治経済評論家・翻訳家・徳川記念財団理事▽米コロンビア大院,静岡,2,6,0
榛葉,しんば,賀津也,かづや,1,52,国民,0,現,3,党参院幹事長・党県会長〈元〉外務副大臣・防衛副大臣▽米オタバイン大,静岡,2,1.6,4.34782608695652
鈴木,すずき,千佳,ちか,0,48,共産,0,新,0,党県常任委員〈元〉県厚生連労組書記▽静岡大法経短大部,静岡,2,2.9,1.44927536231884
畑山,はたやま,浩一,こういち,1,49,諸派,0,新,0,Ｎ国党員・トラック運転手〈元〉めっき加工会社員▽北海道札幌琴似工高,静岡,2,0,0
安江,やすえ,伸夫,のぶお,1,32,公明,自民,新,0,弁護士・党青年局次長・党県副幹事長▽創価大専門職院,愛知,4,4.8,5.88235294117647
橋本,はしもと,勉,べん,1,65,諸派,0,新,0,オリーブの木副代表・税理士〈元〉衆院議員・証券会社員▽早大院中退,愛知,4,0,0
古川,ふるかわ,均,ひとし,1,65,諸派,0,新,0,労働者党支部長・人材派遣会社員〈元〉運送システム会社員▽旭川竜谷高,愛知,4,0,0
牛田,うしだ,宏幸,ひろゆき,1,48,諸派,0,新,0,安楽死党員・派遣社員〈元〉ディスコ支配人・カラオケ会社員▽都立大森高,愛知,4,0,0
末永,すえなが,友香梨,ゆかり,0,37,諸派,0,新,0,Ｎ国党員・人材紹介会社員〈元〉リクルート社員▽日本デザイナー芸術学院,愛知,4,0,0
大塚,おおつか,耕平,こうへい,1,59,国民,0,現,3,党代表代行〈元〉党共同代表・民進党代表・厚労副大臣・日銀職員▽早大院,愛知,4,1.6,7.84313725490196
須山,すやま,初美,はつみ,0,40,共産,0,新,0,党県常任委員・党県若者雇用対策部長〈元〉デザイン事務所社員▽愛知産大,愛知,4,2.9,0
平山,ひらやま,良平,りょうへい,1,71,社民,0,新,0,党県副代表〈元〉中学校教諭▽愛知教大,愛知,4,0.5,0
石井,いしい,均,ひとし,1,54,無所属,0,新,0,〈元〉広告印刷会社員・大学非常勤講師・東海銀行員▽名大院,愛知,4,0,22.5490196078431
岬,みさき,麻紀,まき,0,50,維新,0,新,0,減税日本県支部長・フリーアナウンサー・研修会社長▽早大在学,愛知,4,2.3,0
酒井,さかい,庸行,やすゆき,1,67,自民,0,現,1,党政調副会長・党労政局次長〈元〉党副幹事長・内閣府政務官・県議▽日大,愛知,4,33.4,55.8823529411765
田島,たじま,麻衣子,まいこ,0,42,立憲,0,新,0,党県副代表〈元〉国連職員・国際ＮＧＯ職員▽英オックスフォード大院,愛知,4,6,6.86274509803922
吉川,よしかわ,有美,ゆうみ,0,45,自民,公明,現,1,〈元〉三井住友銀行員・第三者認証機関社員▽東京農工大院,三重,1,33.4,41.1764705882353
門田,かどた,節代,せつよ,0,51,諸派,0,新,0,Ｎ国党員〈元〉かばん卸会社員▽近畿大,三重,1,0,1.96078431372549
芳野,よしの,正英,まさひで,1,44,無所属,立憲 / 国民,新,0,〈元〉県議・四日市市議・衆院議員秘書▽京大,三重,1,0,33.3333333333333
服部,はっとり,修,おさむ,1,45,諸派,0,新,0,Ｎ国党員・音楽教室代表▽東京成徳大,滋賀,1,0,0
嘉田,かだ,由紀子,ゆきこ,0,69,無所属,立憲 / 国民 / 共産 / 社民,新,0,〈元〉びわこ成蹊スポーツ大学長・知事・京都精華大教授▽京大院,滋賀,1,0,22.7272727272727
二之湯,にのゆ,武史,たけし,1,42,自民,公明,現,1,党参院副幹事長〈元〉進学塾社長・桜美林大国際学研究所研究員▽京大,滋賀,1,33.4,36.3636363636364
三上,みかみ,隆,たかし,1,88,諸派,0,新,0,オリーブの木副代表・不動産会社会長〈元〉府議▽立命大,京都,2,0,0
山田,やまだ,彰久,あきひさ,1,38,諸派,0,新,0,Ｎ国党員・宅配業契約社員▽阪南大,京都,2,0,0
西田,にしだ,昌司,しょうじ,1,60,自民,公明,現,2,税理士・党参院国対委員長代行〈元〉府議▽滋賀大,京都,2,33.4,46.6666666666667
倉林,くらばやし,明子,あきこ,0,58,共産,0,現,1,党中央委員〈元〉京都市議・府議・病院看護師▽京都市立看護短大,京都,2,2.9,20
増原,ますはら,裕子,ひろこ,1,41,立憲,国民,新,0,経営コンサルタント会社長〈元〉教育ＩＴ会社員・会計事務所職員▽慶大院,京都,2,6,3.33333333333333
浜田,はまだ,健,たけし,1,53,諸派,0,新,0,安楽死党員〈元〉漁網製造会社員・自然食品会社員▽日大,大阪,4,0,0
足立,あだち,美生代,みきよ,0,47,諸派,0,新,0,オリーブの木党員〈元〉日本母親連盟常任理事▽兵庫県三木高,大阪,4,0,0
尾崎,おざき,全紀,まさのり,1,48,諸派,0,新,0,Ｎ国党員・出版編集者▽京大院,大阪,4,0,0
数森,かずもり,圭吾,けいご,1,39,諸派,0,新,0,幸福実現党員〈元〉ＪＦＥ商事社員▽早大,大阪,4,0,0
佐々木,ささき,一郎,いちろう,1,68,諸派,0,新,0,労働者党支部長〈元〉測量設計コンサルタント会社員・建設会社員▽北大,大阪,4,0,0
太田,おおた,房江,ふさえ,0,68,自民,0,現,1,〈元〉厚労政務官・知事・通産省審議官・岡山県副知事▽東大,大阪,4,33.4,17.0454545454545
東,あずま,徹,とおる,1,52,維新,0,現,1,党総務会長〈元〉府議・福祉専門学校講師・衆院議員秘書▽東洋大院,大阪,4,2.3,57.9545454545455
梅村,うめむら,みずほ,みずほ,0,40,維新,0,新,0,話し方教室運営〈元〉フリーアナウンサー・ＪＴＢ社員▽立命館大,大阪,4,2.3,57.9545454545455
亀石,かめいし,倫子,みちこ,0,45,立憲,社民,新,0,弁護士〈元〉通信会社員▽大阪市大専門職院,大阪,4,6,1.13636363636364
に,にしゃんた,しゃんた,,1,50,国民,0,新,0,羽衣国際大教授・タレント〈元〉山口県立大准教授▽龍谷大院,大阪,4,1.6,0
杉,すぎ,久武,ひさたけ,1,43,公明,0,現,1,公認会計士・党参院政審副会長〈元〉財務政務官▽創価大,大阪,4,4.8,17.0454545454545
辰巳,たつみ,孝太郎,こうたろう,1,42,共産,0,現,1,党中央委員・党参院国対副委員長〈元〉地域団体事務局員▽米エマーソン大,大阪,4,2.9,2.27272727272727
原,はら,博義,ひろよし,1,47,諸派,0,新,0,Ｎ国党員,兵庫,3,0,0
高橋,たかはし,光男,みつお,1,42,公明,自民,新,0,党国際局次長〈元〉在ブラジル日本大使館１等書記官▽大阪外大中退,兵庫,3,4.8,13.7931034482759
安田,やすだ,真理,まり,0,41,立憲,社民,新,0,アナウンサー〈元〉石川テレビアナウンサー・ＮＨＫキャスター▽法大院,兵庫,3,6,5.74712643678161
加田,かだ,裕之,ひろゆき,1,49,自民,0,新,0,〈元〉県議・衆院議員秘書・神戸新聞マーケティングセンター社員▽甲南大,兵庫,3,33.4,31.0344827586207
清水,しみず,貴之,たかゆき,1,45,維新,0,現,1,〈元〉党県代表・テレビリポーター・朝日放送アナウンサー▽早大,兵庫,3,2.3,10.3448275862069
金田,かねだ,峰生,みねお,1,53,共産,0,新,0,党県常任委員〈元〉県議・県保険医協会職員▽日本福祉大,兵庫,3,2.9,5.74712643678161
田中,たなか,孝子,たかこ,0,64,諸派,0,新,0,幸福実現党員・幸福の科学職員〈元〉ハローワーク奈良職業相談員▽早大,奈良,1,0,2.27272727272727
堀井,ほりい,巌,いわお,1,53,自民,公明,現,1,党外交副部会長〈元〉外務政務官・総務省室長・岡山県総務部長▽東大,奈良,1,33.4,47.7272727272727
西田,にしだ,一美,かずみ,0,58,無所属,立憲 / 国民 / 社民,新,0,連合奈良会長〈元〉宇陀市職員・自治労役員▽奈良県榛原高,奈良,1,0,13.6363636363636
藤井,ふじい,幹雄,みきお,1,58,無所属,立憲 / 国民 / 社民,新,0,弁護士・９条ネットわかやま共同代表▽東大,和歌山,1,0,16.6666666666667
世耕,せこう,弘成,ひろしげ,1,56,自民,公明,現,4,経産相〈元〉官房副長官・首相補佐官・ＮＴＴ社員▽早大,和歌山,1,33.4,59.5238095238095
舞立,まいたち,昇治,しょうじ,1,43,自民,公明,現,1,内閣府政務官〈元〉総務省職員・新潟県財政課長・下関市財政部長▽東大,鳥取・島根,1,33.4,45.83333
中林,なかばやし,佳子,よしこ,0,73,無所属,共産,新,0,〈元〉共産党中央委員・衆院議員・小学校教諭▽島根大,鳥取・島根,1,0,16.6666
黒瀬,くろせ,信明,のぶあき,1,34,諸派,,新,0,Ｎ国党員・営業コンサル会社員▽朝日大,鳥取・島根,1,0,0
石井,いしい,正弘,まさひろ,1,73,自民,公明,現,1,〈元〉知事・建設省大臣官房審議官・大臣官房文書課長▽東大,岡山,1,33.4,58.1818181818182
原田,はらだ,謙介,けんすけ,1,33,立憲,国民 / 社民,新,0,党県副代表〈元〉選挙啓発ＮＰＯ代表・岡山大非常勤講師▽東大,岡山,1,6,3.63636363636364
越智,おち,寛之,ひろゆき,1,45,諸派,0,新,0,ＩＴ技術会社長・Ｎ国党員〈元〉遊技機製造社員・システム会社員▽摂南大,岡山,1,0,0
河井,かわい,案里,あんり,0,45,自民,公明,新,0,〈元〉県議・広島文化短大非常勤講師・科学技術振興事業団職員▽慶大院,広島,2,33.4,50
溝手,みぞて,顕正,けんせい,1,76,自民,公明,現,5,党税調副会長〈元〉党参院幹事長・防災担当相・旧三原市長▽東大,広島,2,33.4,50
泉,いずみ,安政,やすまさ,1,66,諸派,0,新,0,労働の解放をめざす労働者党支部長・型枠大工〈元〉ＮＨＫ職員▽米子高専,広島,2,0,0
加陽,かよう,輝実,てるみ,0,69,諸派,0,新,0,Ｎ国党員〈元〉日本棋院職員▽拓殖大,広島,2,0,0
玉田,たまだ,憲勲,のりたか,1,61,無所属,0,新,0,医師・医療法人理事長▽佐賀医大,広島,2,0,37.5
森本,もりもと,真治,しんじ,1,46,無所属,立憲 / 国民 / 社民,現,1,茶道講師〈元〉国民民主党県代表・広島市議・松下政経塾生▽同志社大,広島,2,0,37.5
高見,たかみ,篤己,あつみ,0,67,共産,0,新,0,党県常任委員〈元〉民青県副委員長・広島修道大生協職員▽広島大,広島,2,2.9,1.5625
林,はやし,芳正,よしまさ,1,58,自民,公明,現,4,〈元〉文科相・農水相・経済財政相・三井物産社員▽米ハーバード大院,山口,1,33.4,61.7021276595745
竹本,たけもと,秀之,ひでゆき,1,63,無所属,0,新,0,〈元〉朝日新聞社員▽阪大,山口,1,0,19.1489361702128
河井,かわい,美和子,みわこ,0,56,諸派,0,新,0,幸福実現党県代表〈元〉明治安田生命保険社員▽明星大,山口,1,0,2.12765957446808
