名,姓,年度,年齢,当選,当選回数,推薦・支持,政党,新旧,略歴,選挙区,選挙方法,得票数,得票数(割合),東京からの距離,政党_世論,定員,推薦政党_世論,地方議席数_割合
広,岡田,2016,69,1,3,公明,自民,現,〈元〉内閣府副大臣・党県会長・厚労政務官・水戸市長・県議▽立命大,茨城,選挙区,609636,50.33,99.3,38.1,2,4.7,63.49206349206349
彰,郡司,2016,66,1,3,,民進,現,党県会長・党参院議員会長・連合茨城顧問〈元〉農水相▽明学大中退,茨城,選挙区,306050,25.27,99.3,7.6,2,0.0,6.349206349206349
恭子,小林,2016,65,0,0,,共産,新,党県常任委員〈元〉県南農民組合事務局長・化粧品会社員▽鹿児島女短大,茨城,選挙区,113833,9.4,99.3,3.2,2,0.0,4.761904761904762
優子,武藤,2016,51,0,0,,お維新,新,保険代理店役員・社団法人理事〈元〉投資会社員▽早大,茨城,選挙区,86866,7.17,99.3,1.2,2,0.0,0.0
順子,石原,2016,55,0,0,,無所属,新,ワイン醸造家・ワイン輸入卸販売会社長〈元〉損害保険会社員▽放送大,茨城,選挙区,78655,6.49,99.3,0.0,2,0.0,19.047619047619047
幸樹,中村,2016,52,0,0,,諸派,新,幸福実現党県副代表・幸福の科学職員〈元〉陸上自衛官▽防衛大,茨城,選挙区,16282,1.34,99.3,0.0,2,0.0,0.0
通子,上野,2016,58,1,1,公明,自民,現,党政調副会長・高校副校長〈元〉文科政務官・県議▽共立女大,栃木,選挙区,484300,58.92,98.8,38.1,1,4.7,56.00000000000001
隆男,田野辺,2016,56,0,0,民進 / 共産 / 社民 / 生活,無所属,新,〈元〉ＮＨＫ宇都宮放送局長▽東大,栃木,選挙区,314401,38.25,98.8,0.0,1,0.0,24.0
明美,三觜,2016,54,0,0,,諸派,新,幸福実現党県副代表・英会話講師▽関西外語短大,栃木,選挙区,23262,2.83,98.8,0.0,1,0.0,0.0
弘文,中曽根,2016,70,1,5,公明,自民,現,党県会長〈元〉党党紀委員長・外相・文相・科学技術庁長官▽慶大,群馬,選挙区,527371,65.96,96.4,38.1,1,4.7,62.0
啓仁,堀越,2016,36,0,0,共産 / 社民,民進,新,作業療法士・僧侶〈元〉市民団体共同代表・病院職員▽大正大,群馬,選挙区,248615,31.09,96.4,7.6,1,0.0,12.0
陽,安永,2016,68,0,0,,諸派,新,幸福実現党県副代表・消費者支援ＮＰＯ法人理事長〈元〉都職員▽法大,群馬,選挙区,23550,2.95,96.4,0.0,1,0.0,0.0
昌一,関口,2016,63,1,3,,自民,現,党参院幹事長代行・歯科院長〈元〉総務副大臣・県議▽城西歯大,埼玉,選挙区,898827,29.19,19.0,38.1,3,0.0,48.38709677419355
元裕,大野,2016,52,1,1,生活,民進,現,中東調査会研究員〈元〉防衛政務官・在シリア日本大使館書記官▽国際大院,埼玉,選挙区,676828,21.98,19.0,7.6,3,0.0,11.827956989247312
実仁,西田,2016,53,1,2,自民,公明,現,党参院幹事長・党県代表〈元〉週刊東洋経済副編集長▽慶大,埼玉,選挙区,642597,20.87,19.0,4.7,3,38.1,9.67741935483871
岳,伊藤,2016,56,0,0,生活,共産,新,党県常任委員・党県民運動委員長〈元〉党地区委員長▽文教大,埼玉,選挙区,486778,15.81,19.0,3.2,3,0.0,5.376344086021505
良,沢田,2016,36,0,0,,お維新,新,飲食会社役員〈元〉参院議員秘書・維新政治塾生▽日大,埼玉,選挙区,228472,7.42,19.0,1.2,3,0.0,0.0
知子,佐々木,2016,47,0,0,,こころ,新,主婦〈元〉全日空関連会社員▽和洋女大,埼玉,選挙区,118030,3.83,19.0,0.2,3,0.0,0.0
一郎,小島,2016,45,0,0,,諸派,新,幸福実現党幹事長代理〈元〉党東京本部副代表▽日大,埼玉,選挙区,27283,0.89,19.0,0.0,3,0.0,0.0
邦子,猪口,2016,64,1,1,公明,自民,現,〈元〉少子化担当相・上智大教授・ジュネーブ軍縮会議大使▽米エール大院,千葉,選挙区,760093,29.15,40.2,38.1,3,4.7,53.68421052631579
太一郎,元栄,2016,40,1,0,公明,自民,新,弁護士・法律相談サイト運営会社長▽慶大,千葉,選挙区,577392,22.15,40.2,38.1,3,4.7,53.68421052631579
洋之,小西,2016,44,1,1,,民進,現,党政調副会長〈元〉総務省職員▽米コロンビア大院,千葉,選挙区,472219,18.11,40.2,7.6,3,0.0,17.894736842105264
賢一,水野,2016,49,0,0,,民進,現,〈元〉みんなの党幹事長・衆院環境委員長・法務副大臣▽早大,千葉,選挙区,314670,12.07,40.2,7.6,3,0.0,17.894736842105264
史子,浅野,2016,45,0,0,,共産,新,党県女性部長〈元〉民青県委員長・木更津市職員▽木更津高専,千葉,選挙区,351561,13.48,40.2,3.2,3,0.0,5.263157894736842
正夫,高橋,2016,85,0,0,,無所属,新,〈元〉小学校長▽山梨大,千葉,選挙区,57329,2.2,40.2,0.0,3,0.0,9.473684210526317
成知,香取,2016,65,0,0,,こころ,新,電子制御機器製造会社長▽銚子商高,千葉,選挙区,50098,1.92,40.2,0.2,3,0.0,0.0
裕三,古川,2016,34,0,0,,諸派,新,幸福実現党県副代表〈元〉ＨＳ政経塾生▽日大,千葉,選挙区,23777,0.91,40.2,0.0,3,0.0,0.0
,蓮舫（れんほう,2016,48,1,2,,民進,現,党代表代行〈元〉行政刷新相・キャスター▽青学大,東京,選挙区,1123145,18.05,0.0,7.6,6,0.0,11.811023622047244
敏夫,小川,2016,68,1,3,,民進,現,党参院幹事長・弁護士〈元〉法相・東京地検検事・静岡地裁判事補▽立教大,東京,選挙区,508131,8.16,0.0,7.6,6,0.0,11.811023622047244
雅治,中川,2016,69,1,2,,自民,現,党総務会長代理〈元〉参院議院運営委員長・環境事務次官▽東大,東京,選挙区,884823,14.22,0.0,38.1,6,0.0,44.09448818897638
健太郎,朝日,2016,40,1,0,,自民,新,ビーチ振興ＮＰＯ理事長〈元〉ビーチバレー選手・サントリー社員▽早大院,東京,選挙区,644799,10.36,0.0,38.1,6,0.0,44.09448818897638
とし子,竹谷,2016,46,1,1,,公明,現,公認会計士・党女性副委員長〈元〉コンサルティング会社執行役員▽創価大,東京,選挙区,770535,12.38,0.0,4.7,6,0.0,18.11023622047244
拓,山添,2016,31,1,0,,共産,新,弁護士▽東大,東京,選挙区,665835,10.7,0.0,3.2,6,0.0,13.385826771653544
康夫,田中,2016,60,0,0,,お維新,元,作家〈元〉新党日本代表・衆院議員・長野県知事▽一橋大,東京,選挙区,469314,7.54,0.0,1.2,6,0.0,0.0
勝仁,横粂,2016,34,0,0,,無所属,新,弁護士・税理士〈元〉衆院議員・民主党衆院支部長▽東大,東京,選挙区,310133,4.98,0.0,0.0,6,0.0,0.7874015748031495
洋平,三宅,2016,37,0,0,,無所属,新,音楽家・雑貨店主〈元〉リクルート社員▽早大,東京,選挙区,257036,4.13,0.0,0.0,6,0.0,0.7874015748031495
香,佐藤,2016,48,0,0,,無所属,新,女性支援団体共同代表〈元〉司会業▽国学院女子短大,東京,選挙区,67535,1.09,0.0,0.0,6,0.0,0.7874015748031495
和幸,浜田,2016,63,0,0,,無所属,現,国際政治経済学者〈元〉外務政務官▽米ジョージワシントン大院,東京,選挙区,28408,0.46,0.0,0.0,6,0.0,0.7874015748031495
達夫,鈴木,2016,75,0,0,,無所属,新,弁護士〈元〉ＮＨＫディレクター・ＮＨＫ労組分会委員長▽東大,東京,選挙区,16187,0.26,0.0,0.0,6,0.0,0.7874015748031495
秀敏,柳沢,2016,67,0,0,,無所属,新,医師▽東京慈恵医大,東京,選挙区,12091,0.19,0.0,0.0,6,0.0,0.7874015748031495
喜久,横堀,2016,80,0,0,,無所属,新,がん患者の命を救う会事務局長▽中大,東京,選挙区,7329,0.12,0.0,0.0,6,0.0,0.7874015748031495
晃司,川上,2016,31,0,0,,無所属,新,無職,東京,選挙区,5812,0.09,0.0,0.0,6,0.0,0.7874015748031495
行雄,岩坂,2016,69,0,0,,無所属,新,〈元〉ビル管理会社員▽法大,東京,選挙区,5184,0.08,0.0,0.0,6,0.0,0.7874015748031495
君明,原田,2016,39,0,0,,無所属,新,政策コンサルタント〈元〉製造会社員▽関東高等専修学校,東京,選挙区,5017,0.08,0.0,0.0,6,0.0,0.7874015748031495
麻理子,鈴木,2016,31,0,0,,こころ,新,経営コンサルタント▽米アイダホ大,東京,選挙区,102402,1.65,0.0,0.2,6,0.0,0.0
麗奈,増山,2016,39,0,0,,社民,新,映画監督・画家・ジャーナリスト▽東京芸大中退,東京,選挙区,93677,1.51,0.0,0.8,6,0.0,0.0
興起,小林,2016,72,0,0,,諸派,新,国民怒りの声都支部長〈元〉衆院議員・財務副大臣・通産省職員▽東大,東京,選挙区,82357,1.32,0.0,0.0,6,0.0,0.0
信行,鈴木,2016,50,0,0,,諸派,新,維新政党新風代表・イベント業▽東京学館高中退,東京,選挙区,42858,0.69,0.0,0.0,6,0.0,0.0
,トクマ（とくま,2016,49,0,0,,諸派,新,幸福実現党遊説局長・歌手〈元〉トヨタ自動車社員▽青学大,東京,選挙区,20412,0.33,0.0,0.0,6,0.0,0.0
均,佐藤,2016,45,0,0,,諸派,新,支持政党なし都副代表・登記情報会社役員〈元〉日興証券社員▽日大,東京,選挙区,7853,0.13,0.0,0.0,6,0.0,0.0
光雄,又吉,2016,72,0,0,,諸派,新,世界経済共同体党代表〈元〉学習塾経営・自動車販売会社員▽中大,東京,選挙区,6114,0.1,0.0,0.0,6,0.0,0.0
勝子,犬丸,2016,61,0,0,,諸派,新,犬丸勝子と共和党代表・介護福祉会社長〈元〉小学校教諭▽佛教大,東京,選挙区,5388,0.09,0.0,0.0,6,0.0,0.0
文彦,大槻,2016,49,0,0,,諸派,新,支持政党なし事務局長・ウェブ制作業〈元〉衆院議員秘書▽武蔵大,東京,選挙区,5377,0.09,0.0,0.0,6,0.0,0.0
孝,深江,2016,54,0,0,,諸派,新,支持政党なし事務局次長・登記情報会社員〈元〉不動産調査社員▽淀川工高,東京,選挙区,4497,0.07,0.0,0.0,6,0.0,0.0
けんじ,ひめじ,2016,64,0,0,,諸派,新,地球平和党代表・建物管理業〈元〉航空自衛官▽明大中退,東京,選挙区,3854,0.06,0.0,0.0,6,0.0,0.0
良司,鮫島,2016,61,0,0,,諸派,新,支持政党なし事務局次長・登記情報会社員〈元〉信販会社員▽北九州大,東京,選挙区,3714,0.06,0.0,0.0,6,0.0,0.0
洋行,藤代,2016,42,0,0,,諸派,新,チャレンジド日本代表・福祉コンサルタント▽国際医療福祉大院中退,東京,選挙区,3296,0.05,0.0,0.0,6,0.0,0.0
沙耶,高樹,2016,52,0,0,,改革,新,女優▽青山高,東京,選挙区,60431,0.97,0.0,0.0,6,0.0,0.0
じゅん子,三原,2016,51,1,1,,自民,現,参院厚労委員長〈元〉介護施設経営・女優▽明大付属中野高中退,神奈川,選挙区,1004877,24.5,27.2,38.1,4,0.0,42.857142857142854
健治,中西,2016,52,1,1,,自民,現,〈元〉ＪＰモルガン証券副社長▽東大,神奈川,選挙区,524070,12.77,27.2,38.1,4,0.0,42.857142857142854
信祐,三浦,2016,41,1,0,自民,公明,新,党国際局次長・党青年局次長〈元〉防衛大准教授▽千葉工大,神奈川,選挙区,629582,15.35,27.2,4.7,4,38.1,9.523809523809524
勇一,真山,2016,72,1,1,生活,民進,前,〈元〉調布市議・日本テレビ解説委員長・キャスター▽東京教大,神奈川,選挙区,582127,14.19,27.2,7.6,4,0.0,23.809523809523807
洋一,金子,2016,54,0,1,生活,民進,現,参院国交委員長〈元〉中大院客員教授・内閣府職員▽東大,神奈川,選挙区,448954,10.94,27.2,7.6,4,0.0,23.809523809523807
由香,浅賀,2016,36,0,0,生活,共産,新,党県常任委員〈元〉運輸会社役員▽筑波大,神奈川,選挙区,487729,11.89,27.2,3.2,4,0.0,5.714285714285714
大,丹羽,2016,39,0,0,,お維新,新,〈元〉北京デルフィス博報堂社員▽中国復旦大,神奈川,選挙区,218853,5.33,27.2,1.2,4,0.0,4.761904761904762
英夫,森,2016,44,0,0,生活,社民,新,看護師・就労支援ＮＰＯ法人理事・党県福祉委員長▽放送大,神奈川,選挙区,76424,1.86,27.2,0.8,4,0.0,0.0
太一,清水,2016,34,0,0,,こころ,新,清掃会社員〈元〉教育用具販売会社員▽関東学院大,神奈川,選挙区,50256,1.23,27.2,0.2,4,0.0,0.0
政則,佐藤,2016,48,0,0,,無所属,新,〈元〉介護施設職員・社労士・ヤマト運輸社員・近畿銀行員▽関西外大,神奈川,選挙区,32113,0.78,27.2,0.0,4,0.0,10.476190476190476
英司,片野,2016,45,0,0,,諸派,新,支持政党なし党員・美容室経営▽横浜商高別科,神奈川,選挙区,25714,0.63,27.2,0.0,4,0.0,0.0
愛子,壹岐,2016,30,0,0,,諸派,新,幸福実現党県副代表〈元〉ＨＳ政経塾生・ＯＡ機器販売会社員▽多摩大,神奈川,選挙区,21611,0.53,27.2,0.0,4,0.0,0.0
ゆうこ,森,2016,60,1,2,民進 / 共産 / 社民 / 生活,無所属,前,生活の党県代表〈元〉党代表・文科副大臣・横越町議▽新潟大,新潟,選挙区,560429,49.02,252.7,0.0,1,0.0,16.9811320754717
八一,中原,2016,57,0,0,公明,自民,現,参院拉致問題特別委員長〈元〉国交政務官・県議・衆院議員秘書▽明大,新潟,選挙区,558150,48.82,252.7,38.1,1,4.7,60.37735849056604
基至,横井,2016,35,0,0,,諸派,新,幸福実現党県副代表〈元〉航空自衛官▽新発田南高,新潟,選挙区,24639,2.16,252.7,0.0,1,0.0,0.0
浩太郎,野上,2016,49,1,2,公明,自民,現,〈元〉国交副大臣・参院文教科学委員長・財務政務官・県議▽慶大,富山,選挙区,339055,69.24,249.4,38.1,1,4.7,75.0
悦子,道用,2016,50,0,0,民進 / 共産 / 社民 / 生活,無所属,新,市民団体世話人〈元〉図書館臨時職員・県ＰＴＡ連合会副会長▽富山大,富山,選挙区,134212,27.41,249.4,0.0,1,0.0,7.5
かをる,吉田,2016,61,0,0,,諸派,新,幸福実現党県副代表・教育団体県代表〈元〉高校臨時講師▽お茶の水女大,富山,選挙区,16410,3.35,249.4,0.0,1,0.0,0.0
直樹,岡田,2016,54,1,2,公明,自民,現,財務副大臣〈元〉国交政務官・県議・北国新聞論説委員▽東大,石川,選挙区,328013,61.73,293.6,38.1,1,4.7,60.46511627906976
未来,柴田,2016,45,0,0,民進 / 共産 / 社民 / 生活,無所属,新,弁護士〈元〉日弁連知的財産担当嘱託▽神戸大,石川,選挙区,191371,36.01,293.6,0.0,1,0.0,25.581395348837212
智,宮元,2016,56,0,0,,諸派,新,幸福実現党県副代表・幸福の科学職員〈元〉金沢大非常勤講師▽金沢大院,石川,選挙区,11992,2.26,293.6,0.0,1,0.0,0.0
正昭,山崎,2016,74,1,4,公明,自民,現,参院議長〈元〉党参院幹事長・官房副長官・大蔵政務次官・県議長▽日大,福井,選挙区,217304,60.12,316.1,38.1,1,4.7,56.75675675675676
龍寛,横山,2016,51,0,0,民進 / 共産 / 社民,無所属,新,連合福井事務局長・自治労県副執行委員長〈元〉勝山市職員▽京産大,福井,選挙区,131278,36.32,316.1,0.0,1,0.0,24.324324324324326
康之,白川,2016,59,0,0,,諸派,新,幸福実現党員・住宅改装業〈元〉土木建築会社員・不動産会社員▽福井大,福井,選挙区,12856,3.56,316.1,0.0,1,0.0,0.0
由佳,宮沢,2016,53,1,0,共産 / 社民,民進,新,社福法人理事長・育児支援ＮＰＯ理事〈元〉保育園長▽名古屋市立保育短大,山梨,選挙区,173713,43.02,101.7,7.6,1,0.0,2.631578947368421
剛,高野,2016,68,0,0,公明,自民,新,党県副会長〈元〉県監査委員・県議長・建設会社長▽日大中退,山梨,選挙区,152437,37.75,101.7,38.1,1,4.7,42.10526315789473
晴信,米長,2016,50,0,0,,無所属,前,〈元〉みんなの党県顧問・民主党副幹事長・フジテレビ記者▽上智大,山梨,選挙区,67459,16.71,101.7,0.0,1,0.0,50.0
愛,西脇,2016,31,0,0,,諸派,新,幸福実現党県副代表・幸福の科学職員▽立教大,山梨,選挙区,10183,2.52,101.7,0.0,1,0.0,0.0
秀哉,杉尾,2016,58,1,0,共産 / 社民,民進,新,〈元〉ＴＢＳ報道局解説専門記者室長・キャスター▽東大,長野,選挙区,574052,52.45,172.8,7.6,1,0.0,3.4482758620689653
健太,若林,2016,52,0,0,公明,自民,現,参院農水委員長・公認会計士〈元〉党副幹事長・外務政務官▽早大専門職院,長野,選挙区,499974,45.69,172.8,38.1,1,4.7,27.586206896551722
幸久,及川,2016,56,0,0,,諸派,新,幸福実現党外務局長〈元〉投資顧問会社員▽国際基督教大院,長野,選挙区,20350,1.86,172.8,0.0,1,0.0,0.0
猛之,渡辺,2016,48,1,1,公明,自民,現,全国商工会連合会顧問・参院国交委理事・建築会社顧問〈元〉県議▽名大,岐阜,選挙区,531412,55.78,271.3,38.1,1,4.7,63.04347826086957
幸治,小見山,2016,53,0,0,共産 / 社民 / 生活,民進,現,党県代表・参院経産委員長〈元〉党国対委員長代理・衆院議員秘書▽福島大,岐阜,選挙区,389681,40.9,271.3,7.6,1,0.0,10.869565217391305
有輝彦,加納,2016,55,0,0,,諸派,新,幸福実現党県副代表〈元〉酒造会社員・幸福の科学職員▽岐阜高専,岐阜,選挙区,31651,3.32,271.3,0.0,1,0.0,0.0
茂樹,岩井,2016,48,1,1,公明,自民,現,〈元〉経産政務官・沼津青年会議所理事・参院議員秘書▽名大院,静岡,選挙区,747410,44.25,142.8,38.1,2,4.7,53.62318840579711
佐知子,平山,2016,45,1,0,社民,民進,新,アナウンサー〈元〉ＮＨＫ静岡放送局キャスター▽日本福祉大女子短大部,静岡,選挙区,691687,40.95,142.8,7.6,2,0.8,18.84057971014493
千佳,鈴木,2016,45,0,0,,共産,新,党県常任委員〈元〉県厚生連労働組合書記▽静岡大法経短大部,静岡,選挙区,172382,10.21,142.8,3.2,2,0.0,1.4492753623188406
創太郎,大嶽,2016,33,0,0,,無所属,新,フリージャーナリスト〈元〉モデル▽静岡中央高,静岡,選挙区,54412,3.22,142.8,0.0,2,0.0,18.84057971014493
俊満,江頭,2016,53,0,0,,諸派,新,幸福実現党県副代表・幸福の科学職員〈元〉航空自衛官▽防衛大,静岡,選挙区,23021,1.36,142.8,0.0,2,0.0,0.0
政人,藤川,2016,56,1,1,,自民,現,党県会長・党副幹事長〈元〉総務政務官・県議・扶桑町職員▽南山大,愛知,選挙区,961096,29.31,259.1,38.1,4,0.0,52.94117647058824
嘉隆,斎藤,2016,53,1,1,,民進,現,〈元〉県教員組合執行委員長・連合愛知副会長・小学校教諭▽愛知教大,愛知,選挙区,575119,17.54,259.1,7.6,4,0.0,31.372549019607842
孝恵,伊藤,2016,41,1,0,,民進,新,リクルート関連会社員・大学非常勤講師〈元〉テレビ大阪社員▽金城学院大,愛知,選挙区,519510,15.84,259.1,7.6,4,0.0,31.372549019607842
隆治,里見,2016,48,1,0,自民,公明,新,党労働局次長〈元〉厚労省大臣官房参事官・長野県職業安定課長▽東大,愛知,選挙区,531488,16.21,259.1,4.7,4,38.1,5.88235294117647
初美,須山,2016,37,0,0,,共産,新,党県常任委員・党県若者雇用対策部長〈元〉デザイン事務所社員▽愛知産大,愛知,選挙区,302489,9.22,259.1,3.2,4,0.0,1.9607843137254901
香代,奥田,2016,51,0,0,お維新,諸派,新,減税日本県支部長・おおさか維新の会党員・ペットケア業▽名古屋芸大,愛知,選挙区,218171,6.65,259.1,0.0,4,1.2,0.0
裕美,中根,2016,42,0,0,,諸派,新,幸福実現党県副代表・保育園長▽平安女学院短大,愛知,選挙区,47088,1.44,259.1,0.0,4,0.0,0.0
良平,平山,2016,68,0,0,,社民,新,党県副代表〈元〉中学校教諭▽愛知教大,愛知,選挙区,64781,1.98,259.1,0.8,4,0.0,0.0
亮,井桁,2016,46,0,0,,こころ,新,〈元〉津島市議・県議・衆院議員秘書▽上智大,愛知,選挙区,59651,1.82,259.1,0.2,4,0.0,0.0
博一,芝,2016,66,1,2,,民進,現,党県代表〈元〉官房副長官・県議・椿大神社神職▽皇学館大,三重,選挙区,440776,49.72,308.7,7.6,1,0.0,17.647058823529413
佐知子,山本,2016,48,0,0,公明,自民,新,〈元〉旅行会社員・留学支援会社員・住友銀行員▽神戸大,三重,選挙区,420929,47.48,308.7,38.1,1,4.7,41.17647058823529
典子,野原,2016,59,0,0,,諸派,新,幸福実現党県副代表・医療法人理事〈元〉ＮＨＫ津放送局契約社員▽南山大,三重,選挙区,24871,2.81,308.7,0.0,1,0.0,0.0
隆史,小鑓,2016,49,1,0,公明,自民,新,東工大特任教授〈元〉内閣参事官・経産省職員▽京大院,滋賀,選挙区,332248,52.22,355.7,38.1,1,4.7,40.909090909090914
久美子,林,2016,43,0,1,共産 / 社民,民進,現,党県代表代行〈元〉文科政務官・びわ湖放送キャスター▽早大,滋賀,選挙区,291290,45.78,355.7,7.6,1,0.0,20.454545454545457
雅司,荒川,2016,41,0,0,,諸派,新,幸福実現党県副代表・幸福の科学滋賀本部巡回支部長▽福井大,滋賀,選挙区,12705,2.0,355.7,0.0,1,0.0,0.0
智,二之湯,2016,71,1,2,公明,自民,現,党組織運動本部長代理〈元〉総務副大臣・京都市議▽慶大,京都,選挙区,422416,39.97,365.3,38.1,2,4.7,45.0
哲郎,福山,2016,54,1,3,社民,民進,現,党幹事長代理〈元〉官房副長官・松下政経塾生・証券会社員▽京大院,京都,選挙区,389707,36.88,365.3,7.6,2,0.8,15.0
寿貴,大河原,2016,39,0,0,,共産,新,弁護士・自由法曹団常任幹事〈元〉京都弁護士会副会長▽京大,京都,選挙区,211663,20.03,365.3,3.2,2,0.0,23.333333333333332
光子,大八木,2016,32,0,0,,諸派,新,幸福実現党府副代表〈元〉飲食会社員▽大阪成蹊短大中退,京都,選挙区,32973,3.12,365.3,0.0,2,0.0,0.0
るい,松川,2016,45,1,0,,自民,新,〈元〉外務省女性参画推進室長▽東大,大阪,選挙区,761424,20.41,395.9,38.1,4,0.0,22.727272727272727
均,浅田,2016,65,1,0,,お維新,新,党政調会長〈元〉府議・経済協力開発機構職員▽米スタンフォード大院,大阪,選挙区,727495,19.5,395.9,1.2,4,0.0,47.72727272727273
佳保里,高木,2016,43,1,0,,お維新,新,〈元〉堺市議・自民党府青年局次長・三菱信託銀行員▽京都女大,大阪,選挙区,669719,17.95,395.9,1.2,4,0.0,47.72727272727273
