名,姓,年度,年齢,当選,当選回数,推薦・支持,政党,新旧,略歴,選挙区,選挙方法,得票数,得票数(割合),東京からの距離,政党_世論,定員,推薦政党_世論,地方議席数_割合
智美,沖,2013,32,0,0,0,みんな,新,〈元〉衆院議員秘書・新宿区議・飲料サービス会社準社員▽京都府峰山高,栃木,選挙区,201895,25.79,98.8,3.1,1,0.0,52.0
博之,谷,2013,70,0,1,0,民主,現,党県代表・県難病連顧問〈元〉法務副大臣・県議・宇都宮市議▽宇都宮大,栃木,選挙区,158577,20.26,98.8,8.0,1,0.0,20.0
一徳,小池,2013,52,0,0,0,共産,新,党県書記長・党県くらし雇用対策本部長〈元〉生協職員▽東北大中退,栃木,選挙区,41351,5.28,98.8,3.7,1,0.0,0.0
満春,杉浦,2013,45,0,0,0,諸派,新,幸福実現党総務会長代理▽日大,栃木,選挙区,4371,0.56,98.8,0.0,1,0.0,0.0
一太,山本,2013,55,1,3,公明,自民,現,沖縄北方相〈元〉外務副大臣・国連開発計画職員▽米ジョージタウン大院,群馬,選挙区,580144,71.89,96.4,42.5,1,5.3,120.0
富士子,加賀谷,2013,35,0,0,0,民主,新,不動産会社員〈元〉法律事務所事務員▽和光大,群馬,選挙区,123725,15.33,96.4,8.0,1,0.0,16.0
世津子,店橋,2013,51,0,0,0,共産,新,党県委員・女性団体支部委員〈元〉前橋市議・保育士▽県立保育大学校,群馬,選挙区,91905,11.39,96.4,3.7,1,0.0,8.0
陽,安永,2013,65,0,0,0,諸派,新,幸福実現党員・消費者支援ＮＰＯ法人理事長〈元〉都職員▽法大,群馬,選挙区,11200,1.39,96.4,0.0,1,0.0,0.0
俊治,古川,2013,50,1,1,0,自民,現,慶大教授・医師・弁護士▽英オックスフォード大院,埼玉,選挙区,1000725,34.05,19.0,42.5,3,0.0,53.191489361702125
克夫,矢倉,2013,38,1,0,自民,公明,新,弁護士・党青年局次長▽東大,埼玉,選挙区,599755,20.41,19.0,5.3,3,42.5,9.574468085106384
邦子,行田,2013,47,1,1,0,みんな,現,〈元〉民主党副幹事長・電通社員・旭通信社員▽国際基督教大,埼玉,選挙区,485559,16.52,19.0,3.1,3,0.0,1.0638297872340425
隆治,山根,2013,65,0,1,0,民主,現,党県顧問〈元〉党県代表・外務副大臣・県議・川越市議▽埼玉大中退,埼玉,選挙区,389625,13.26,19.0,8.0,3,0.0,11.702127659574469
岳,伊藤,2013,53,0,0,0,共産,新,党県常任委員〈元〉党地区委員長・日本民主青年同盟県委員長▽文教大,埼玉,選挙区,353594,12.03,19.0,3.7,3,0.0,2.127659574468085
康正,川上,2013,48,0,0,0,社民,新,党県副代表〈元〉衆院議員秘書・早大客員研究員・住宅会社員▽早大,埼玉,選挙区,65749,2.24,19.0,0.9,3,0.0,1.0638297872340425
美穂,谷井,2013,50,0,0,0,諸派,新,幸福の科学職員・ピアノ教室経営〈元〉幸福実現党県副代表▽東京音大,埼玉,選挙区,22345,0.76,19.0,0.0,3,0.0,0.0
照彦,宮永,2013,56,0,0,0,諸派,新,埼玉の未来を創る会代表〈元〉ソフトウエア開発会社員▽近畿大,埼玉,選挙区,21358,0.73,19.0,0.0,3,0.0,0.0
準一,石井,2013,55,1,1,公明,自民,現,参院国交委員長・建築資材会社役員〈元〉県議・衆院議員秘書▽長生高,千葉,選挙区,680706,28.5,40.2,42.5,3,5.3,61.05263157894737
俊郎,豊田,2013,60,1,0,公明,自民,新,〈元〉八千代市長・県都市計画審議会委員・県議・測量会社長▽中央工学校,千葉,選挙区,418806,17.54,40.2,42.5,3,5.3,61.05263157894737
博行,長浜,2013,54,1,1,0,民主,現,〈元〉環境相・官房副長官・厚労副大臣・衆院議員・松下政経塾生▽早大,千葉,選挙区,388529,16.27,40.2,8.0,3,0.0,18.947368421052634
昌弘,寺田,2013,45,0,0,0,みんな,新,弁護士・関東学生アメリカンフットボール連盟監事〈元〉証券会社員▽早大,千葉,選挙区,285007,11.93,40.2,3.1,3,0.0,4.2105263157894735
賢,寺尾,2013,37,0,0,0,共産,新,党県委員〈元〉日本民主青年同盟県委員長▽東京情報大,千葉,選挙区,232477,9.73,40.2,3.7,3,0.0,4.2105263157894735
広毅,花崎,2013,36,0,0,0,維新,新,党県政調会長〈元〉県議・民主党県青年委員長・衆院議員秘書▽明大中退,千葉,選挙区,186259,7.8,40.2,2.7,3,0.0,0.0
和美,太田,2013,33,0,0,0,生活,新,〈元〉衆院議員・民主党福島県副代表・千葉県議▽沼南高柳高,千葉,選挙区,148240,6.21,40.2,0.5,3,0.0,0.0
裕一,渡辺,2013,58,0,0,0,諸派,新,維新政党新風県幹事・保守運動団体代表・土木会社長▽千葉市立高,千葉,選挙区,39147,1.64,40.2,0.0,3,0.0,0.0
弘典,松島,2013,56,0,0,0,諸派,新,幸福実現党研修局長〈元〉党幹事長・三菱商事社員▽都立大,千葉,選挙区,9227,0.39,40.2,0.0,3,0.0,0.0
珠代,丸川,2013,42,1,1,0,自民,現,厚労政務官〈元〉党女性局長・テレビ朝日アナウンサー▽東大,東京,選挙区,1064660,18.88,0.0,42.5,5,0.0,22.83464566929134
敬三,武見,2013,61,1,3,0,自民,現,東海大教授〈元〉厚労副大臣・参院外交防衛委員長・外務政務次官▽慶大院,東京,選挙区,612388,10.86,0.0,42.5,5,0.0,22.83464566929134
那津男,山口,2013,61,1,2,0,公明,現,党代表・弁護士〈元〉参院行政監視委員長・衆院議員・防衛政務次官▽東大,東京,選挙区,797811,14.15,0.0,5.3,5,0.0,14.173228346456693
佳子,吉良,2013,30,1,0,0,共産,新,党都雇用就活対策室長〈元〉党地区都政青年対策委員長・印刷会社員▽早大,東京,選挙区,703901,12.49,0.0,3.7,5,0.0,4.724409448818897
太郎,山本,2013,38,1,0,0,無所,新,俳優・新党今はひとり代表▽箕面自由学園高中退,東京,選挙区,666684,11.83,0.0,0.0,5,0.0,1.574803149606299
雅子,大河原,2013,60,0,0,0,無所,現,〈元〉民主党政調副会長・東京生活者ネット代表委員・都議▽国際基督教大,東京,選挙区,236953,4.2,0.0,0.0,5,0.0,1.574803149606299
義郎,中松,2013,85,0,0,0,無所,新,発明家・イグノーベル賞受賞者協会長〈元〉青森大上級客員教授▽東大,東京,選挙区,48362,0.86,0.0,0.0,5,0.0,1.574803149606299
勝子,犬丸,2013,58,0,0,0,無所,新,介護事業所経営・介護福祉士〈元〉小学校教諭▽佛教大,東京,選挙区,12683,0.22,0.0,0.0,5,0.0,1.574803149606299
純,森,2013,65,0,0,0,無所,新,〈元〉会社員,東京,選挙区,6432,0.11,0.0,0.0,5,0.0,1.574803149606299
実,松本,2013,66,0,0,0,無所,新,保険代理業・経営コンサルタント▽同志社大,東京,選挙区,6123,0.11,0.0,0.0,5,0.0,1.574803149606299
高志,中村,2013,53,0,0,0,無所,新,ビル設備管理会社員▽深沢高,東京,選挙区,6033,0.11,0.0,0.0,5,0.0,1.574803149606299
貞吉,西野,2013,77,0,0,0,無所,新,〈元〉タクシー運転手・陸上自衛官,東京,選挙区,3103,0.06,0.0,0.0,5,0.0,1.574803149606299
寛,鈴木,2013,49,0,1,0,民主,現,日本教育再興連盟理事〈元〉文科副大臣・慶大助教授・通産省職員▽東大,東京,選挙区,552714,9.8,0.0,8.0,5,0.0,31.496062992125985
淳,小倉,2013,55,0,0,0,維新,新,アナウンサー〈元〉江戸川大教授・日本テレビ社員▽成城大,東京,選挙区,413637,7.34,0.0,2.7,5,0.0,0.0
ローランド,桐島,2013,45,0,0,0,みんな,新,写真家▽米ニューヨーク大,東京,選挙区,320287,5.68,0.0,3.1,5,0.0,0.0
信行,鈴木,2013,47,0,0,0,諸派,新,維新政党新風代表・建設工事会社役員▽東京学館高中退,東京,選挙区,77465,1.37,0.0,0.0,5,0.0,0.0
量子,釈,2013,43,0,0,0,諸派,新,幸福実現党女性局長〈元〉幸福の科学常務理事・製紙会社員▽国学院大,東京,選挙区,20137,0.36,0.0,0.0,5,0.0,0.0
赤坂,マック,2013,64,0,0,0,諸派,新,スマイル党総裁・スマイルセラピー協会長〈元〉伊藤忠商事社員▽京大,東京,選挙区,12228,0.22,0.0,0.0,5,0.0,0.0
光雄,又吉,2013,69,0,0,0,諸派,新,世界経済共同体党代表〈元〉学習塾経営・自動車販売会社員▽中大,東京,選挙区,5633,0.1,0.0,0.0,5,0.0,0.0
安子,丸子,2013,45,0,0,0,みどり,新,服飾デザイナー・アパレル企画販売業〈元〉アパレル会社員▽文化服装学院,東京,選挙区,70571,1.25,0.0,0.1,5,0.0,0.0
大,島村,2013,52,1,0,0,自民,新,歯科医師〈元〉日本歯科医師連盟理事長▽東京歯大,神奈川,選挙区,1130652,28.79,27.2,42.5,4,0.0,34.57943925233645
成文,松沢,2013,55,1,0,0,みんな,新,筑波大客員教授〈元〉知事・衆院議員・県議・松下政経塾生▽慶大,神奈川,選挙区,740207,18.85,27.2,3.1,4,0.0,13.084112149532709
さやか,佐々木,2013,32,1,0,0,公明,新,弁護士・党女性局次長・党青年局次長▽創価大法科大学院,神奈川,選挙区,629662,16.03,27.2,5.3,4,0.0,8.411214953271028
弘恵,牧山,2013,48,1,1,0,民主,現,米国弁護士〈元〉松竹契約社員・ＴＢＳ社員▽国際基督教大,神奈川,選挙区,461006,11.74,27.2,8.0,4,0.0,25.233644859813083
君枝,畑野,2013,56,0,0,0,共産,元,党中央委員・党県副委員長〈元〉中学教諭▽横浜国大,神奈川,選挙区,444955,11.33,27.2,3.7,4,0.0,0.0
将史,水戸,2013,50,0,0,0,維新,現,税理士・党県総支部代表〈元〉民主党県幹事長・県議・衆院議員秘書▽慶大,神奈川,選挙区,242462,6.17,27.2,2.7,4,0.0,0.0
順一,露木,2013,57,0,0,0,みどり,新,〈元〉開成町長・内閣府地方分権改革推進委員・ＮＨＫ記者▽東大,神奈川,選挙区,119633,3.05,27.2,0.1,4,0.0,0.0
栄子,木村,2013,65,0,0,0,社民,新,党県副代表〈元〉藤沢市議・湘南地区労組協議会職員▽熊本県八代東高,神奈川,選挙区,76792,1.96,27.2,0.9,4,0.0,0.0
敏盛,溝口,2013,66,0,0,0,諸派,新,維新政党新風県代表〈元〉住友不動産販売社員・航空自衛隊員▽中大,神奈川,選挙区,41359,1.05,27.2,0.0,4,0.0,0.0
幸久,及川,2013,53,0,0,0,諸派,新,幸福実現党局長〈元〉幸福の科学北米本部長・証券会社員▽国際基督教大院,神奈川,選挙区,10006,0.25,27.2,0.0,4,0.0,0.0
正勝,森下,2013,69,0,0,0,無所,新,建築内装会社長▽神奈川大,神奈川,選挙区,30403,0.77,27.2,0.0,4,0.0,11.214953271028037
一郎,塚田,2013,49,1,1,公明,自民,現,〈元〉衆院議員秘書・さくら銀行員▽中大,新潟,選挙区,456542,43.01,252.7,42.5,2,5.3,101.88679245283019
直樹,風間,2013,46,1,1,0,民主,現,〈元〉外務政務官・党国対副委員長・衆院議員秘書・県議▽慶大,新潟,選挙区,204834,19.3,252.7,8.0,2,0.0,24.528301886792452
ゆうこ,森,2013,57,0,1,0,生活,現,党代表代行〈元〉党代表・文科副大臣・横越町議▽新潟大,新潟,選挙区,165308,15.57,252.7,0.5,2,0.0,0.0
隆一,米山,2013,45,0,0,0,維新,新,医師・弁護士・医療法人理事長・弁護士事務所代表▽東大院,新潟,選挙区,107591,10.14,252.7,2.7,2,0.0,0.0
博,西沢,2013,33,0,0,0,共産,新,党県政策委員長〈元〉民青県委員長・赤旗出張所長▽敬和学園大,新潟,選挙区,60317,5.68,252.7,3.7,2,0.0,1.8867924528301887
英明,渡辺,2013,63,0,0,0,社民,新,県平和運動センター議長〈元〉県高教組委員長・高校教諭▽駒沢大,新潟,選挙区,46101,4.34,252.7,0.9,2,0.0,5.660377358490567
美与子,安久,2013,78,0,0,0,無所,新,医療看護介護相談員・医療福祉ＮＰＯ法人理事長〈元〉目黒区議▽慶大中退,新潟,選挙区,15612,1.47,252.7,0.0,2,0.0,18.867924528301888
寛明,生越,2013,48,0,0,0,諸派,新,幸福実現党県副代表・幸福の科学支部長▽長岡高専,新潟,選挙区,5188,0.49,252.7,0.0,2,0.0,0.0
茂,堂故,2013,60,1,0,公明,自民,新,〈元〉氷見市長・県議・衆院議員秘書▽慶大,富山,選挙区,328638,77.05,249.4,42.5,1,5.3,175.0
渡,高橋,2013,50,0,0,0,共産,新,党県常任委員〈元〉党地区委員長・民青県委員長▽富山県立技術短大,富山,選挙区,51569,12.09,249.4,3.7,1,0.0,5.0
嘉晃,西江,2013,58,0,0,0,無所,新,旅館業〈元〉Ｊパワー社員▽早大,富山,選挙区,27509,6.45,249.4,0.0,1,0.0,7.5
かをる,吉田,2013,58,0,0,0,諸派,新,幸福実現党員・教育団体県代表〈元〉高校講師▽お茶の水女大,富山,選挙区,18797,4.41,249.4,0.0,1,0.0,0.0
修路,山田,2013,59,1,0,公明,自民,新,〈元〉農水審議官・水産庁長官・農水省生産局長・農村振興局長▽東大,石川,選挙区,321286,64.85,293.6,42.5,1,5.3,134.88372093023256
保夫,一川,2013,71,0,0,0,民主,現,党参院幹事長〈元〉防衛相・衆院議員・県議・農水省室長▽三重大,石川,選挙区,113817,22.97,293.6,8.0,1,0.0,41.86046511627907
良典,亀田,2013,64,0,0,0,共産,新,党県委員・県ロシア協会副理事長〈元〉県貿易協同組合専務理事▽金沢大,石川,選挙区,40295,8.13,293.6,3.7,1,0.0,4.651162790697675
茂,浜崎,2013,45,0,0,0,無所,新,飲食店経営〈元〉プロボクサー▽金沢西高,石川,選挙区,10114,2.04,293.6,0.0,1,0.0,13.953488372093023
智,宮元,2013,53,0,0,0,諸派,新,幸福実現党県副代表・幸福の科学職員〈元〉金沢大非常勤講師▽金沢大院,石川,選挙区,9935,2.01,293.6,0.0,1,0.0,0.0
宏文,滝波,2013,41,1,0,公明,自民,新,〈元〉財務省機構業務室長・広報室長・人事企画室長兼首席監察官▽東大,福井,選挙区,237732,70.59,316.1,42.5,1,5.3,167.56756756756758
利和,藤野,2013,61,0,0,0,民主,新,党県副代表・鮮魚販売業〈元〉県議・旧越前町議▽道守高,福井,選挙区,56409,16.75,316.1,8.0,1,0.0,35.13513513513514
和雄,山田,2013,46,0,0,0,共産,新,党県常任委員〈元〉三国町議・赤旗福井出張所長・車電装会社員▽春江工高,福井,選挙区,35600,10.57,316.1,3.7,1,0.0,5.405405405405405
康之,白川,2013,56,0,0,0,諸派,新,幸福実現党員・住宅改装業〈元〉土木建築会社員・不動産会社員▽福井大,福井,選挙区,7020,2.08,316.1,0.0,1,0.0,0.0
宏,森屋,2013,56,1,0,公明,自民,新,幼稚園長〈元〉県議・党県総務会長・都留青年会議所理事長▽北海道教大,山梨,選挙区,142529,37.3,101.7,42.5,1,5.3,94.73684210526315
岳洋,坂口,2013,42,0,0,民主 / 社民,無所,新,〈元〉民主党県顧問・衆院議員・投資会社顧問▽東大院,山梨,選挙区,75686,19.81,101.7,0.0,1,0.0,55.26315789473685
茂樹,青木,2013,44,0,0,0,無所,新,駒沢大教授〈元〉県産業振興ビジョン検討委員・山梨学院大教授▽慶大院,山梨,選挙区,61834,16.18,101.7,0.0,1,0.0,55.26315789473685
祥三,林,2013,65,0,0,0,無所,新,〈元〉長野県小学校教諭▽信州大,山梨,選挙区,3969,1.04,101.7,0.0,1,0.0,55.26315789473685
晴信,米長,2013,47,0,0,0,みんな,現,党県顧問〈元〉民主党副幹事長・フジテレビ記者▽上智大,山梨,選挙区,58750,15.38,101.7,3.1,1,0.0,0.0
昭子,遠藤,2013,61,0,0,0,共産,新,党県常任委員〈元〉臨床検査技師▽名大付属衛生検査技師学校,山梨,選挙区,36082,9.44,101.7,3.7,1,0.0,5.263157894736842
丈太郎,田辺,2013,32,0,0,0,諸派,新,幸福実現党員・幸福の科学職員〈元〉党県副代表▽東京理科大,山梨,選挙区,3220,0.84,101.7,0.0,1,0.0,0.0
博美,吉田,2013,64,1,2,公明,自民,現,党幹事長代理〈元〉参院決算委員会理事・県議会議長・衆院議員秘書▽早大,長野,選挙区,365115,37.24,172.8,42.5,2,5.3,46.55172413793103
雄一郎,羽田,2013,45,1,3,0,民主,現,〈元〉国交相・党参院国対委員長・党常任幹事・衆院議員秘書▽玉川大,長野,選挙区,294588,30.05,172.8,8.0,2,0.0,13.793103448275861
千晶,唐沢,2013,43,0,0,0,共産,新,党県若者雇用対策室長〈元〉県高校教職員組合書記▽明治学院大,長野,選挙区,154630,15.77,172.8,3.7,2,0.0,17.24137931034483
恵子,角,2013,33,0,0,0,みんな,新,〈元〉チューリッヒ保険会社員・三井住友海上社員▽日大,長野,選挙区,106915,10.91,172.8,3.1,2,0.0,0.0
ゆかり,神津,2013,46,0,0,0,無所,新,市民団体代表・フリーライター▽米ウェスタンミシガン大,長野,選挙区,51621,5.27,172.8,0.0,2,0.0,39.6551724137931
淳二,味岡,2013,54,0,0,0,諸派,新,幸福実現党員・経営コンサルタント業〈元〉セイコーエプソン社員▽日大,長野,選挙区,7537,0.77,172.8,0.0,2,0.0,0.0
泰正,大野,2013,54,1,0,公明,自民,新,〈元〉県議・参院議員秘書・運輸相秘書官・全日空社員▽慶大,岐阜,選挙区,500580,58.75,271.3,42.5,1,5.3,141.30434782608697
里江,吉田,2013,47,0,0,0,民主,新,海外インターンシップ仲介会社長〈元〉参院議員秘書▽英ウェールズ大院,岐阜,選挙区,218074,25.59,271.3,8.0,1,0.0,36.95652173913043
正典,鈴木,2013,49,0,0,0,共産,新,党県常任委員〈元〉赤旗記者・岐阜大生協労組執行委員長▽岐阜大,岐阜,選挙区,115503,13.56,271.3,3.7,1,0.0,4.3478260869565215
有輝彦,加納,2013,52,0,0,0,諸派,新,幸福実現党県政調会長〈元〉酒造会社員・幸福の科学職員▽岐阜高専,岐阜,選挙区,17893,2.1,271.3,0.0,1,0.0,0.0
京夫,牧野,2013,54,1,1,公明,自民,現,〈元〉参院災対特別委員長・参院国交委員長・県議・テレビ静岡記者▽早大,静岡,選挙区,634789,41.54,142.8,42.5,2,5.3,72.46376811594203
賀津也,榛葉,2013,46,1,2,0,民主,現,党県会長〈元〉外務副大臣・防衛副大臣・菊川町議▽米オタバイン大,静岡,選挙区,458095,29.98,142.8,8.0,2,0.0,34.78260869565217
唯記子,鈴木,2013,38,0,0,0,みんな,新,歯科技工士・党政治塾生▽浜松市立高,静岡,選挙区,187055,12.24,142.8,3.1,2,0.0,1.4492753623188406
飛竜,望月,2013,43,0,0,0,維新,新,精密機械部品製造会社長〈元〉維新政治塾生▽法大院在学,静岡,選挙区,119109,7.79,142.8,2.7,2,0.0,0.0
大介,森,2013,44,0,0,0,共産,新,党県常任委員・党国会議員団県事務所長▽日本福祉大,静岡,選挙区,115411,7.55,142.8,3.7,2,0.0,0.0
雄太,中野,2013,39,0,0,0,諸派,新,幸福実現党県幹事長・幸福の科学支部長〈元〉党県代表▽早大院,静岡,選挙区,13692,0.9,142.8,0.0,2,0.0,0.0
庸行,酒井,2013,61,1,0,公明,自民,新,党県政調会長〈元〉県議・刈谷市農業委員・刈谷市議▽日大,愛知,選挙区,1056145,35.39,259.1,42.5,3,5.3,45.63106796116505
耕平,大塚,2013,53,1,2,0,民主,現,党政調副会長〈元〉厚労副大臣・日本銀行国会渉外課調査役▽早大院,愛知,選挙区,741598,24.85,259.1,8.0,3,0.0,24.271844660194176
