num,district_J,district_E,candidate_J,candidate_yomi,candidate_E,outcome
32,栃木,Tochigi,町田紀光,まちだ としみつ,Machida Toshimitsu,
33,栃木,Tochigi,高橋克法,たかはし かつのり,Takahashi Katsunori,
34,栃木,Tochigi,加藤千穂,かとう ちほ,Katou Chiho,
35,群馬,Gunma,清水真人,しみず まさと,Shimizu Masato,
36,群馬,Gunma,斉藤敦子,さいとう あつこ,Saitou Atsuko,
37,群馬,Gunma,前田みか子,まえだ みかこ,Maeda Mikako,
38,埼玉,Saitama,宍戸千絵,ししど ちえ,Shishido Chie,
39,埼玉,Saitama,伊藤岳,いとう がく,Itou Gaku,
40,埼玉,Saitama,矢倉克夫,やくら かつお,Yakura Katsuo,
41,埼玉,Saitama,沢田良,さわだ りょう,Sawada Ryou,
42,埼玉,Saitama,鮫島良司,さめじま りょうじ,Samejima Ryouji,
43,埼玉,Saitama,熊谷裕人,くまがい ひろと,Kumagai Hiroto,
44,埼玉,Saitama,古川俊治,ふるかわ としはる,Furukawa Toshiharu,
45,埼玉,Saitama,小島一郎,こじま いちろう,Kojima Ichirou,
46,埼玉,Saitama,佐藤恵理子,さとう えりぃ,Satou Erii,
47,千葉,Chiba,石井準一,いしい じゅんいち,Ishii Junichi,
48,千葉,Chiba,長浜博行,ながはま ひろゆき,Nagahama Hiroyuki,
49,千葉,Chiba,豊田俊郎,とよだ としろう,Toyoda Toshirou,
50,千葉,Chiba,門田正則,かどた まさのり,Kadota Masanori,
51,千葉,Chiba,浅野史子,あさの ふみこ,Asano Fumiko,
52,千葉,Chiba,平塚正幸,ひらつか まさゆき,Hiratsuka Masayuki,
53,東京,Tokyo,丸川珠代,まるかわ たまよ,Marukawa Tamayo,
54,東京,Tokyo,塩村文夏,しおむら あやか,Shiomura Ayaka,
55,東京,Tokyo,武見敬三,たけみ けいぞう,Takemi Keizou,
56,東京,Tokyo,山口那津男,やまぐち なつお,Yamaguchi Natsuo,
57,東京,Tokyo,溝口晃一,みぞぐち こういち,Mizoguchi Kouichi,
58,東京,Tokyo,森純,もり きよし,Mori Kiyoshi,
59,東京,Tokyo,山岸一生,やまぎし いっせい,Yamagishi Issei,
60,東京,Tokyo,吉良佳子,きら よしこ,Kira Yoshiko,
61,東京,Tokyo,水野素子,みずの もとこ,Mizuno Motoko,
62,東京,Tokyo,関口安弘,せきぐち やすひろ,Sekiguchi Yasuhiro,
63,東京,Tokyo,佐藤均,さとう ひとし,Satou Hitoshi,
64,東京,Tokyo,朝倉玲子,あさくら れいこ,Asakura Reiko,
65,東京,Tokyo,音喜多駿,おときた しゅん,Otokita Shun,
66,東京,Tokyo,七海ひろこ,ななみ ひろこ,Nanami Hiroko,
67,東京,Tokyo,横山昌弘,よこやま まさひろ,Yokoyama Masahiro,
68,東京,Tokyo,野原善正,のはら よしまさ,Nohara Yoshimasa,
69,東京,Tokyo,西野貞吉,にしの ていきち,Nishino Teikichi,
70,東京,Tokyo,大橋昌信,おおはし まさのぶ,Oohashi Masanobu,
71,東京,Tokyo,大塚紀久雄,おおつか きくお,Ootsuka Kikuo,
72,東京,Tokyo,野末陳平,のずえ ちんぺい,Nozue Chinpei,
73,神奈川,Kanagawa,乃木涼介,のぎ りょうすけ,Nogi Ryousuke,
74,神奈川,Kanagawa,佐々木さやか,ささき さやか,Sasaki Sayaka,
75,神奈川,Kanagawa,相原倫子,あいはら りんこ,Aihara Rinko,
76,神奈川,Kanagawa,壹岐愛子,いき あいこ,Iki Aiko,
77,神奈川,Kanagawa,渋谷貢,しぶや みつぎ,Shibuya Mitsugi,
78,神奈川,Kanagawa,森下正勝,もりした まさかつ,Morishita Masakatsu,
79,神奈川,Kanagawa,圷孝行,あくつ たかゆき,Akutsu Takayuki,
80,神奈川,Kanagawa,牧山弘恵,まきやま ひろえ,Makiyama Hiroe,
81,神奈川,Kanagawa,林大祐,はやし だいすけ,Hayashi Daisuke,
82,神奈川,Kanagawa,加藤友行,かとう ともゆき,Katou Tomoyuki,
83,神奈川,Kanagawa,島村大,しまむら だい,Shimamura Dai,
84,神奈川,Kanagawa,浅賀由香,あさか ゆか,Asaka Yuka,
85,神奈川,Kanagawa,松沢成文,まつざわ しげふみ,Matsuzawa Shigefumi,
86,神奈川,Kanagawa,榎本太志,えのもと たいし,Enomoto Taishi,
87,新潟,Niigata,打越さく良,うちこし さくら,Uchikoshi Sakura,
88,新潟,Niigata,塚田一郎,つかだ いちろう,Tsukada Ichirou,
89,新潟,Niigata,小島糾史,こじま ただふみ,Kojima Tadafumi,
90,富山,Toyama,西尾政英,にしお まさえい,Nishio Masaei,
91,富山,Toyama,堂故茂,どうこ しげる,Douko Shigeru,
92,石川,Ishikawa,山田修路,やまだ しゅうじ,Yamada Shuuji,
93,石川,Ishikawa,田辺徹,たなべ とおる,Tanabe Tooru,
94,福井,Fukui,山田和雄,やまだ かずお,Yamada Kazuo,
95,福井,Fukui,嶋谷昌美,しまたに まさみ,Shimatani Masami,
96,福井,Fukui,滝波宏文,たきなみ ひろふみ,Takinami Hirofumi,
97,山梨,Yamanashi,森屋宏,もりや ひろし,Moriya Hiroshi,
98,山梨,Yamanashi,市来伴子,いちき ともこ,Ichiki Tomoko,
99,山梨,Yamanashi,猪野恵司,いの けいじ,Ino Keiji,
100,長野,Nagano,羽田雄一郎,はた ゆういちろう,Hata Yuuichirou,
101,長野,Nagano,斉藤好明,さいとう よしあき,Saitou Yoshiaki,
102,長野,Nagano,小松裕,こまつ ゆたか,Komatsu Yutaka,
103,長野,Nagano,古谷孝,ふるや たかし,Furuya Takashi,
104,岐阜,Gifu,大野泰正,おおの やすただ,Oono Yasutada,
105,岐阜,Gifu,梅村慎一,うめむら しんいち,Umemura Shinichi,
106,岐阜,Gifu,坂本雅彦,さかもと まさひこ,Sakamoto Masahiko,
107,静岡,Shizuoka,牧野京夫,まきの たかお,Makino Takao,
108,静岡,Shizuoka,徳川家広,とくがわ いえひろ,Tokugawa Iehiro,
109,静岡,Shizuoka,榛葉賀津也,しんば かづや,Shimba Kazuya,
110,静岡,Shizuoka,鈴木千佳,すずき ちか,Suzuki Chika,
111,静岡,Shizuoka,畑山浩一,はたやま こういち,Hatayama Kouichi,
112,愛知,Aichi,安江伸夫,やすえ のぶお,Yasue Nobuo,
113,愛知,Aichi,橋本勉,はしもと べん,Hashimoto Ben,
114,愛知,Aichi,大塚耕平,おおつか こうへい,Ootsuka Kouhei,
115,愛知,Aichi,須山初美,すやま はつみ,Suyama Hatsumi,
116,愛知,Aichi,古川均,ふるかわ ひとし,Furukawa Hitoshi,
117,愛知,Aichi,平山良平,ひらやま りょうへい,Hirayama Ryouhei,
118,愛知,Aichi,石井均,いしい ひとし,Ishii Hitoshi,
119,愛知,Aichi,岬麻紀,みさき まき,Misaki Maki,
120,愛知,Aichi,酒井庸行,さかい やすゆき,Sakai Yasuyuki,
121,愛知,Aichi,田島麻衣子,たじま まいこ,Tajima Maiko,
122,愛知,Aichi,牛田宏幸,うしだ ひろゆき,Ushida Hiroyuki,
123,愛知,Aichi,末永友香梨,すえなが ゆかり,Suenaga Yukari,
124,三重,Mie,吉川有美,よしかわ ゆうみ,Yoshikawa Yuumi,
125,三重,Mie,門田節代,かどた せつよ,Kadota Setsuyo,
126,三重,Mie,芳野正英,よしの まさひで,Yoshino Masahide,
127,滋賀,Shiga,服部修,はっとり おさむ,Hattori Osamu,
128,滋賀,Shiga,嘉田由紀子,かだ ゆきこ,Kada Yukiko,
129,滋賀,Shiga,二之湯武史,にのゆ たけし,Ninoyu Takeshi,
130,京都,Kyoto,三上隆,みかみ たかし,Mikami Takashi,
131,京都,Kyoto,西田昌司,にしだ しょうじ,Nishida Shouji,
132,京都,Kyoto,倉林明子,くらばやし あきこ,Kurabayashi Akiko,
133,京都,Kyoto,増原裕子,ますはら ひろこ,Masuhara Hiroko,
134,京都,Kyoto,山田彰久,やまだ あきひさ,Yamada Akihisa,
135,大阪,Osaka,浜田健,はまだ たけし,Hamada Takeshi,
136,大阪,Osaka,太田房江,おおた ふさえ,Oota Fusae,
137,大阪,Osaka,東徹,あずま とおる,Azuma Tooru,
138,大阪,Osaka,足立美生代,あだち みきよ,Adachi Mikiyo,
139,大阪,Osaka,亀石倫子,かめいし みちこ,Kameishi Michiko,
140,大阪,Osaka,にしゃんた,にしゃんた,Nishantha,
141,大阪,Osaka,杉久武,すぎ ひさたけ,Sugi Hisatake,
142,大阪,Osaka,梅村みずほ,うめむら みずほ,Umemura Mizuho,
143,大阪,Osaka,尾崎全紀,おざき まさのり,Ozaki Masanori,
144,大阪,Osaka,数森圭吾,かずもり けいご,Kazumori Keigo,
145,大阪,Osaka,辰巳孝太郎,たつみ こうたろう,Tatsumi Koutarou,
146,大阪,Osaka,佐々木一郎,ささき いちろう,Sasaki Ichirou,
147,兵庫,Hyogo,原博義,はら ひろよし,Hara Hiroyoshi,
148,兵庫,Hyogo,高橋光男,たかはし みつお,Takahashi Mitsuo,
149,兵庫,Hyogo,安田真理,やすだ まり,Yasuda Mari,
150,兵庫,Hyogo,加田裕之,かだ ひろゆき,Kada Hiroyuki,
151,兵庫,Hyogo,清水貴之,しみず たかゆき,Shimizu Takayuki,
152,兵庫,Hyogo,金田峰生,かねだ みねお,Kaneda Mineo,
153,奈良,Nara,田中孝子,たなか たかこ,Tanaka Takako,
154,奈良,Nara,堀井巌,ほりい いわお,Horii Iwao,
155,奈良,Nara,西田一美,にしだ かずみ,Nishida Kazumi,
156,和歌山,Wakayama,藤井幹雄,ふじい みきお,Fujii Mikio,
157,和歌山,Wakayama,世耕弘成,せこう ひろしげ,Sekou Hiroshige,
158,鳥取・島根,Tottori/Shimane,舞立昇治,まいたち しょうじ,Maitachi Shouji,
159,鳥取・島根,Tottori/Shimane,中林佳子,なかばやし よしこ,Nakabayashi Yoshiko,
160,鳥取・島根,Tottori/Shimane,黒瀬信明,くろせ のぶあき,Kurose Nobuaki,
161,岡山,Okayama,石井正弘,いしい まさひろ,Ishii Masahiro,
162,岡山,Okayama,原田謙介,はらだ けんすけ,Harada Kensuke,
163,岡山,Okayama,越智寛之,おち ひろゆき,Ochi Hiroyuki,
164,広島,Hiroshima,河井案里,かわい あんり,Kawai Anri,
165,広島,Hiroshima,泉安政,いずみ やすまさ,Izumi Yasumasa,
166,広島,Hiroshima,玉田憲勲,たまだ のりたか,Tamada Noritaka,
167,広島,Hiroshima,高見篤己,たかみ あつみ,Takami Atsumi,
168,広島,Hiroshima,加陽輝実,かよう てるみ,Kayou Terumi,
169,広島,Hiroshima,森本真治,もりもと しんじ,Morimoto Shinji,
170,広島,Hiroshima,溝手顕正,みぞて けんせい,Mizote Kensei,
171,山口,Yamaguchi,林芳正,はやし よしまさ,Hayashi Yoshimasa,
172,山口,Yamaguchi,竹本秀之,たけもと ひでゆき,Takemoto Hideyuki,
173,山口,Yamaguchi,河井美和子,かわい みわこ,Kawai Miwako,
174,山口,Yamaguchi,大内一也,おおうち かずや,Oouchi Kazuya,
175,徳島・高知,Tokushima/Kochi,石川新一郎,いしかわ しんいちろう,Ishikawa Shinichirou,
176,徳島・高知,Tokushima/Kochi,高野光二郎,たかの こうじろう,Takano Koujirou,
177,徳島・高知,Tokushima/Kochi,松本顕治,まつもと けんじ,Matsumoto Kenji,
178,徳島・高知,Tokushima/Kochi,野村秀邦,のむら ひでくに,Nomura Hidekuni,
179,香川,Kagawa,尾田美和子,おだ みわこ,Oda Miwako,
180,香川,Kagawa,三宅伸吾,みやけ しんご,Miyake Shingo,
181,香川,Kagawa,田中邦明,たなか くにあき,Tanaka Kuniaki,
182,愛媛,Ehime,らくさぶろう,らくさぶろう,Rakusaburou,
183,愛媛,Ehime,永江孝子,ながえ たかこ,Nagae Takako,
184,愛媛,Ehime,椋本薫,むくもと かおる,Mukumoto Kaoru,
185,福岡,Fukuoka,春田久美子,はるた くみこ,Haruta Kumiko,
186,福岡,Fukuoka,川口尚宏,かわぐち なおひろ,Kawaguchi Naohiro,
187,福岡,Fukuoka,河野祥子,かわの しょうこ,Kawano Shouko,
188,福岡,Fukuoka,浜武振一,はまたけ しんいち,Hamatake Shinichi,
189,福岡,Fukuoka,下野六太,しもの ろくた,Shimono Rokuta,
190,福岡,Fukuoka,本藤昭子,ほんどう あきこ,Hondou Akiko,
191,福岡,Fukuoka,野田国義,のだ くによし,Noda Kuniyoshi,
192,福岡,Fukuoka,江夏正敏,えなつ まさとし,Enatsu Masatoshi,
193,福岡,Fukuoka,松山政司,まつやま まさじ,Matsuyama Masaji,
194,佐賀,Saga,山下雄平,やました ゆうへい,Yamashita Yuuhei,
195,佐賀,Saga,犬塚直史,いぬづか ただし,Inuduka Tadashi,
196,長崎,Nagasaki,古賀友一郎,こが ゆういちろう,Koga Yuuichirou,
197,長崎,Nagasaki,白川鮎美,しらかわ あゆみ,Shirakawa Ayumi,
198,長崎,Nagasaki,神谷幸太郎,かみや こうたろう,Kamiya Koutarou,
199,熊本,Kumamoto,馬場成志,ばば せいし,Baba Seishi,
200,熊本,Kumamoto,阿部広美,あべ ひろみ,Abe Hiromi,
201,熊本,Kumamoto,最勝寺辰也,さいしょうじ しんや,Saishouji Shinya,
202,大分,Oita,礒崎陽輔,いそざき ようすけ,Isozaki Yousuke,
203,大分,Oita,安達澄,あだち きよし,Adachi Kiyoshi,
204,大分,Oita,牧原慶一郎,まきはら けいいちろう,Makihara Keiichirou,
205,宮崎,Miyazaki,長峯誠,ながみね まこと,Nagamine Makoto,
206,宮崎,Miyazaki,河野一郎,こうの いちろう,Kouno Ichirou,
207,宮崎,Miyazaki,園生裕造,そのう ゆうぞう,Sonou Yuuzou,
208,鹿児島,Kagoshima,前田終止,まえだ しゅうじ,Maeda Shuuji,
209,鹿児島,Kagoshima,合原千尋,ごうはら ちひろ,Gouhara Chihiro,
210,鹿児島,Kagoshima,尾辻秀久,おつじ ひでひさ,Otsuji Hidehisa,
211,沖縄,Okinawa,安里繁信,あさと しげのぶ,Asato Shigenobu,
212,沖縄,Okinawa,高良鉄美,たから てつみ,Takara Tetsumi,
213,沖縄,Okinawa,磯山秀夫,いそやま ひでお,Isoyama Hideo,
214,沖縄,Okinawa,玉利朝輝,たまり ともてる,Tamari Tomoteru,
